what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1570634852709
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1570634852710
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1570634852710
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1570634852710
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1570634852711
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1570634852711
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1570634852712
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1570634852712
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1570634852712
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1570634852713
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1570634852713
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1570634852714
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1570634852714
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1570634852714
os,sysinfo,,,"win32",1570634852716
arch,sysinfo,,,"x86",1570634852716
ws,sysinfo,,,"win32",1570634852716
locale,sysinfo,,,"zh_CN",1570634852716
processors,sysinfo,,,"8",1570634852716
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1570634852716
java.runtime.version,sysinfo,,,"1.6.0_02-b06",1570634852716
java.specification.name,sysinfo,,,"Java Platform API Specification",1570634852716
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1570634852716
java.specification.version,sysinfo,,,"1.6",1570634852716
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1570634852716
java.version,sysinfo,,,"1.6.0_02",1570634852716
java.vm.info,sysinfo,,,"mixed mode",1570634852716
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1570634852716
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1570634852716
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1570634852716
java.vm.specification.version,sysinfo,,,"1.0",1570634852716
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1570634852716
java.vm.version,sysinfo,,,"1.6.0_02-b06",1570634852716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570634853479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570634854523
